Rank,Name,Votes
0,Phaver,19004
1,Atticc,4279
2,DeBox,2842
3,DegenReborn,2826
4,ReadON,2090
5,Quest3,1483
6,Dmail Network,1363
7,W3Space,516
8,Atem Network,440
9,Plant Crossing,382
10,Morphis Network,314
11,REVO,275
12,Bit islands,274
13,MetaLine,197
14,Flappymoonbird,187
15,alphagram,151
16,Aspecta,144
17,Web3 Events,111
18,Oasis Origin,79
19,Gamic,76
20,bfrenz,74
21,Gummys.io,73
22,KISMI,72
23,AllsTo,70
24,Clasp,63
25,MOJOR,63
26,Paysenger,62
27,Dopamine App,59
28,MemeBook,58
29,Null World,57
30,Sprout,56
31,HANGOUT METAVERSE,56
32,Wonderverse,53
33,Booth,51
34,Plato Eats,50
35,Rosen Bridge,50
36,Wondera,48
37,Huddle01,47
38,Simple Zone,45
39,Maven House,44
40,meme3,41
41,Web3MQ,36
42,BLOCKTIMES,36
43,VESS,29
44,Freeper,21
45,OpenBiSea.io,9
46,Puffverse,7
47,Gameland,6
